Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
Q 0016-357,00 18 40.6,-35 29 13,3.190,18.8,0.,0.000,QSO radio quiet
PB 5857,00 18 50.3,01 21 50,0.319,18.2,0.,0.000,Galaxy unbarred
UM 662,00 19 10.2,-17 40 56,2.190,18.2,0.,0.000,QSO radio quiet
ISS 35,00 19 14.4,15 55 56,2.270,17.7,5.,0.029,QSO radio loud
PB 5861,00 19 19.4,01 01 52,2.309,18.3,0.,0.000,QSO radio quiet
S5 0016+73,00 19 45.6,73 27 30,1.781,19.0,1650.,0.063,QSO radio loud flat
S50016+731,00 19 45.7,73 27 30,1.781,18.0,1650.,0.063,QSO radio loud flat
1Jy0016+731,00 19 45.7,73 27 30,1.781,18.0,1650.,0.063,QSO radio loud flat
PKS 0017+200,00 19 37.8,20 21 46,0.000,20.0,520.,0.000,BL Lac
4C 25.01,00 19 39.8,26 02 52,0.284,15.4,483.,0.456,QSO radio loud steep
MS 00173+1540,00 19 54.4,15 57 40,0.083,17.5,0.,0.104,Seyfert type 1
PB 5873,00 19 57.9,01 11 53,1.134,18.4,0.,0.000,QSO radio quiet
Q 0017-397,00 20 12.9,-39 26 05,1.940,18.1,0.,0.000,QSO radio quiet
3C  9.0,00 20 25.2,15 40 54,2.018,18.2,550.,0.025,QSO radio loud steep
PB 5877,00 20 25.1,02 26 25,0.401,17.2,0.,0.000,QSO radio quiet
Q 0017-420,00 20 23.2,-41 46 40,1.550,18.3,0.,0.000,QSO radio quiet
Q 0017+0212,00 20 33.2,02 28 52,0.256,17.9,0.,0.170,Seyfert type 1
Q 0018-0004,00 20 56.8,00 11 47,1.115,17.8,0.,0.050,QSO radio quiet
Q 0018-422,00 20 53.2,-41 55 44,2.860,18.6,0.,0.000,QSO radio quiet
UM 228,00 21 01.0,00 52 47,0.098,16.4,0.,0.000,Starburst galaxy
UM 228B,00 21 02.3,00 52 41,0.142,16.5,0.,0.000,Galaxy unbarred
A16.05,00 21 03.0,-35 02 32,2.000,18.5,0.,0.000,QSO radio quiet
S50018+729,00 21 27.3,73 12 42,0.000,22.4,364.,0.000,Radio Galaxy
G17.06,00 21 14.5,-48 34 32,1.340,17.8,0.,0.000,QSO radio quiet
Q 0018-388,00 21 17.7,-38 32 05,2.290,18.7,0.,0.000,QSO radio quiet
Q 0018-0252,00 21 25.8,-02 35 42,0.618,18.1,0.,0.000,QSO radio quiet
Q 0018-0220,00 21 27.3,-02 03 34,2.596,17.1,0.,0.000,QSO radio quiet
PC 0018+0047,00 21 27.9,01 04 19,1.835,17.8,0.,0.000,QSO radio quiet
PB 5888,00 21 33.3,00 42 60,1.246,17.9,0.,0.000,QSO radio quiet
Q 0019+0022A,00 21 41.0,00 38 41,0.314,18.1,0.,0.000,Galaxy unbarred
Q 0019+0022B,00 21 46.4,00 38 59,0.661,17.8,0.,0.000,QSO radio quiet
PB 5893,00 21 51.7,-01 28 34,1.588,17.8,0.,0.000,QSO radio quiet
MARK  549,00 21 53.8,-01 36 36,0.039,15.6,0.,0.000,Seyfert type 1
